what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1318896521543
started,bundle,org.python.pydev,2.0.0.2011040403,"org.python.pydev",1318896521543
started,bundle,org.python.pydev.core,2.0.0.2011040403,"org.python.pydev.core",1318896521559
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.0.R200906100410,"org.eclipse.epp.usagedata.gathering",1318896521562
started,bundle,org.eclipse.epp.usagedata.recording,1.1.0.R200906100410,"org.eclipse.epp.usagedata.recording",1318896521564
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1318896521567
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1318896521569
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1318896521571
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1318896521571
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1318896521574
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1318896521576
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1318896521598
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1318896521599
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1318896521618
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1318896521621
os,sysinfo,,,"win32",1318896521628
arch,sysinfo,,,"x86",1318896521628
ws,sysinfo,,,"win32",1318896521628
locale,sysinfo,,,"en_US",1318896521628
processors,sysinfo,,,"2",1318896521628
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1318896521628
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1318896521628
java.specification.name,sysinfo,,,"Java Platform API Specification",1318896521628
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318896521628
java.specification.version,sysinfo,,,"1.6",1318896521628
