what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318897863511
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318897863628
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318897908933
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318900367476
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318900371347
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318900373171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318900393321
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318900402980
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318900441015
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318900442547
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318900475754
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318900480947
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318900482749
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318900482782
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318900484212
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318900492560
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318900493349
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318900497070
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318900803504
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318900804847
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318900831351
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318900853303
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318900861156
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318900866216
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318900878413
