what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318948292749
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318948294517
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318948433686
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318948439273
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318948439430
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318948455828
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318949555919
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318949557516
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318949564004
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318949564681
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318949736212
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318949743281
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1318949748414
executed,command,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit.junitShortcut.run",1318949755265
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318949755469
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318949760153
started,bundle,org.python.pydev.core,2.0.0.2011040403,"org.python.pydev.core",1318949762972
started,bundle,org.python.pydev.debug,2.0.0.2011040403,"org.python.pydev.debug",1318949762994
opened,view,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit.ResultView",1318949763864
activated,view,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit.ResultView",1318949763895
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318949763912
activated,view,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit.ResultView",1318949766545
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318949771364
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318949837447
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318949840347
