what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318901070471
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318901086211
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318901092375
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318901095906
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318901104248
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318901144340
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318901147220
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318901149907
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318901323867
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318901439187
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318903744784
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318903745524
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318903779959
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318903780837
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318909286720
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318909288755
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318909289922
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318909292410
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1318909295930
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1318909295976
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1318909296048
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.debugger.core.ui",1318909296106
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1318909296139
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1318909296225
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1318909296291
