what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1318948276702
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1318948276704
os,sysinfo,,,"win32",1318948276711
arch,sysinfo,,,"x86",1318948276711
ws,sysinfo,,,"win32",1318948276711
locale,sysinfo,,,"en_US",1318948276711
processors,sysinfo,,,"2",1318948276711
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1318948276711
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1318948276711
java.specification.name,sysinfo,,,"Java Platform API Specification",1318948276711
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318948276711
java.specification.version,sysinfo,,,"1.6",1318948276711
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1318948276711
java.version,sysinfo,,,"1.6.0_16",1318948276711
java.vm.info,sysinfo,,,"mixed mode",1318948276711
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1318948276711
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1318948276711
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318948276711
java.vm.specification.version,sysinfo,,,"1.0",1318948276711
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1318948276711
java.vm.version,sysinfo,,,"14.2-b01",1318948276711
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318948289221
started,bundle,com.android.ide.eclipse.ddms,0.9.5.v200911191123-20404,"com.android.ide.eclipse.ddms",1318948290253
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318948290743
started,bundle,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.adt",1318948290845
