what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1318896539881
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1318896553012
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318896559560
started,bundle,org.eclipse.jst.jee.ui,1.0.201.v201002021208,"org.eclipse.jst.jee.ui",1318897223886
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1318897223933
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.navigator.ui",1318897223978
started,bundle,com.android.ide.eclipse.ddms,0.9.5.v200911191123-20404,"com.android.ide.eclipse.ddms",1318897225959
started,bundle,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.adt",1318897226918
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1318897227018
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1318897227019
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318897231479
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1318897231586
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1318897231666
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318897236874
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318897244681
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318897372144
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1318897376795
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1318897377091
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1318897377093
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1318897378465
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318897392584
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318897478056
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318897490830
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318897491903
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318897493197
