what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318897497162
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318897497273
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318897544507
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318897544583
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318897544971
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318897551137
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318897555767
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318897575171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318897732236
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.closeProject",1318897735969
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.openProject",1318897746071
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1318897754845
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1318897766243
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318897766327
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1318897766880
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1318897766950
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318897767023
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1318897767125
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1318897767344
started,bundle,org.eclipse.pde.core,3.5.101.v20100104,"org.eclipse.pde.core",1318897774594
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1318897783264
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1318897783299
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1318897784371
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1318897830250
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318897863123
